,Unnamed: 0,Time,month,day,hour,RCHW_Temp_V,RCHW_Temp_VS,SCHW_Temp_V,SCHW_Temp_VS,MAT_V,MAT_VS,SAT_V,SAT_VS,RAT_V,RAT_VS,Valve_CMD_V,Valve_CMD_VS,Temp_SP_V,Temp_SP_VS,VFD_Speed_CMD_V,VFD_Speed_CMD_VS
134,134,2021-07-02 11:05:00,7,2,6,6,6.8260345458984375,5,5.580338001251221,25,25.52758026123047,13,13.15804672241211,25,25.36557960510254,100,100.0,20,20.0,140,140.0
135,135,2021-07-02 11:10:00,7,2,6,6,6.803667068481445,5,5.542365074157715,25,25.50520706176757,13,13.151046752929688,25,25.346023559570312,100,100.0,20,20.0,140,140.0
136,136,2021-07-02 11:15:00,7,2,6,6,6.81857967376709,5,5.552999496459961,25,25.52058792114257,13,13.181844711303713,25,25.36557960510254,100,100.0,20,20.0,140,140.0
137,137,2021-07-02 11:25:00,7,2,6,9,9.912327766418455,9,9.170317649841309,25,25.8579044342041,15,15.63522243499756,25,25.794979095458984,100,100.0,20,20.0,140,140.0
138,138,2021-07-02 11:30:00,7,2,6,10,10.708501815795898,10,10.021610260009766,25,25.98405838012696,16,16.28667449951172,25,25.85661506652832,100,100.0,20,20.0,140,140.0
139,139,2021-07-02 11:35:00,7,2,6,10,10.734175682067873,9,9.758373260498049,26,26.29990768432617,16,16.839046478271484,26,26.225555419921875,100,100.0,20,20.0,140,140.0
140,140,2021-07-02 11:40:00,7,2,6,13,13.697519302368164,13,13.55226230621338,26,26.30552864074707,18,18.402841567993164,26,26.159557342529297,100,100.0,20,20.0,140,140.0
141,141,2021-07-02 11:45:00,7,2,6,9,9.542166709899902,8,8.372458457946777,26,26.33223342895508,15,15.867270469665527,26,26.183425903320312,100,100.0,20,20.0,140,140.0
142,142,2021-07-02 11:50:00,7,2,6,7,7.131072044372559,5,5.587929248809815,26,26.172082901000977,13,13.980497360229492,26,26.02063369750977,100,100.0,20,20.0,140,140.0
143,143,2021-07-02 11:55:00,7,2,6,6,6.95117712020874,5,5.504373073577881,26,26.00930404663086,13,13.665412902832031,25,25.831398010253903,100,100.0,20,20.0,140,140.0
144,144,2021-07-02 12:00:00,7,2,7,6,6.995819568634033,5,5.618286609649658,25,25.86210823059082,13,13.571887969970703,25,25.684371948242188,100,100.0,20,20.0,140,140.0
145,145,2021-07-02 12:05:00,7,2,7,6,6.942244529724121,5,5.609180927276611,25,25.73325157165528,13,13.439184188842772,25,25.530492782592773,100,100.0,20,20.0,140,140.0
146,146,2021-07-02 12:10:00,7,2,7,6,6.915443420410156,5,5.580338001251221,25,25.67865943908692,13,13.380483627319336,25,25.50812149047852,100,100.0,20,20.0,140,140.0
147,147,2021-07-02 12:15:00,7,2,7,6,6.928844928741455,5,5.601592063903809,25,25.652069091796875,13,13.36929702758789,25,25.468978881835938,100,100.0,20,20.0,140,140.0
148,148,2021-07-02 12:20:00,7,2,7,6,6.8916120529174805,5,5.5605950355529785,25,25.632482528686523,13,13.307772636413574,25,25.45360565185547,100,100.0,20,20.0,140,140.0
