timestamp,r_humidity,man_valve_cmd,rchw_temp,sa_temp,ra_temp,rtemp_sp,vlv_cmd
09/03/2022 20:10,59.92621231,100,16.97123718,83.83093262,21.888834,16,100
09/03/2022 20:20,59.8956337,100,17.7319622,83.82157135,21.99228287,16,100
09/03/2022 20:30,60.29099274,100,18.21360397,84.00166321,22.03145981,16,100
09/03/2022 20:40,60.53381729,100,18.73512077,83.92807007,22.07201958,16,100
09/03/2022 20:50,60.76248932,100,19.47741127,83.93924713,22.13310242,16,100
09/03/2022 21:00,60.29990768,100,19.91734695,84.27351379,22.46686172,16,100
09/03/2022 21:10,59.65128708,100,20.73312569,84.18540192,22.62679863,16,100
09/03/2022 21:20,59.12625885,100,24.41248703,84.31800079,22.73432922,16,100
09/03/2022 21:30,58.60688782,100,26.23217773,84.2937851,22.88239479,16,100
09/03/2022 21:40,58.22261047,100,26.41905594,84.4234848,22.85163498,16,100
09/03/2022 21:50,57.85355377,100,26.39895439,83.54458618,22.94382668,16,100
09/03/2022 22:00,57.5859375,100,25.9765358,83.60803223,22.95952797,16,100
09/03/2022 22:10,57.32274628,100,25.97141838,83.68101501,23.14478683,16,100
09/03/2022 22:20,57.02487946,100,23.77157593,83.79109192,23.00845909,16,100
09/03/2022 22:30,56.66110611,100,22.17710876,83.72699738,23.51480484,16,0
09/03/2022 22:40,56.66847229,100,22.29614449,84.12858582,23.77565575,16,0
09/03/2022 22:50,56.25598526,100,22.42224121,84.0894165,24.03223228,16,0
09/03/2022 23:00,53.07816315,100,22.5872097,84.03450012,24.71490669,16,0
09/03/2022 23:10,50.39701462,100,22.76622009,83.45068359,24.75449562,16,0
09/03/2022 23:20,49.18331528,100,22.84691238,83.49317169,24.82931519,16,0
09/03/2022 23:30,49.08189392,100,22.91623116,83.48079681,24.34871674,16,0
09/03/2022 23:40,49.64419937,100,22.95743752,83.50804138,24.11987114,16,0
09/03/2022 23:50,50.01356125,100,22.99422264,83.45175171,23.8179245,16,0
10/03/2022 0:00,50.11187744,100,23.03785133,83.44749451,24.1792202,16,0
10/03/2022 0:10,49.7576828,100,23.05878639,84.09375763,23.86889076,16,0
10/03/2022 0:20,50.50672913,100,23.05281067,83.85256195,23.89600372,16,0
10/03/2022 0:30,49.88921356,100,23.12312889,83.23529816,24.18492508,16,0
10/03/2022 0:40,49.63607025,100,23.14237022,83.27483368,24.17690659,16,0
10/03/2022 0:50,49.2263298,100,23.15891457,83.43966675,24.19380569,16,0
10/03/2022 1:00,49.35920334,100,23.18421745,83.44356537,23.92473984,16,0
10/03/2022 1:10,49.77000809,100,23.2050724,83.33763885,23.73321915,16,0
10/03/2022 1:20,49.25284576,100,23.2206707,83.39194489,23.93899918,16,0
10/03/2022 1:30,49.11559677,100,23.23557472,83.29959869,23.81894112,16,0
10/03/2022 1:40,49.39128876,100,23.24663925,83.37618256,23.62892342,16,0
10/03/2022 1:50,49.62122345,100,23.25895691,83.25707245,23.45809555,16,0
10/03/2022 2:00,50.28243637,100,23.31715393,83.56908417,23.20469284,16,0
10/03/2022 2:10,50.28626251,100,23.32076836,82.91313171,23.34611893,16,0
